name,rating,imdb,rotten_critics,rotten_users,meta_critics,meta_users,letterboxd
Dead Man's Shoes,60,7.5,60,91,52,7.6,3.8
House of Sand and Fog,70,7.5,74,83,71,7.5,3.6
The Handmaiden,50,8.1,96,91,85,8.5,4.4
Three Monkeys,70,7.3,77,72,73,7.2,3.7
K-PAX,60,7.4,41,75,49,7.3,3.4
Sexy Beast,65,7.3,87,84,79,7.9,3.9
Chopper,75,7.1,76,89,68,7.9,3.6
The Room Next Door,65,6.8,80,76,70,7.0,3.4
Femme,78,7.3,93,84,69,7.8,3.7
A Thousand and One,70,6.9,97,85,81,6.6,3.8
Fallen Leaves,60,7.3,97,62,86,7.4,3.8
The Seed of the Sacred Fig,87,7.5,97,94,84,7.6,4.0
Anora,60,7.4,93,85,91,6.5,3.8
Eternity,40,7.0,77,90,58,6.6,3.8
Queens of the Dead,30,5.2,83,66,68,8.0,3.2
Wake Up Dead Man,65,7.4,92,93,80,7.3,3.8
The Favourite,72,7.5,93,71,91,7.8,4.0
Hamnet,78,8.1,86,93,83,7.3,4.2
Nuremberg,50,7.4,72,95,61,7.0,3.5
Good Fortune,40,6.5,78,80,61,6.3,3.1
Blue Moon,65,6.9,90,77,78,7.2,3.7
Megalopolis,50,4.7,46,34,55,4.5,2.3
The Conjuring 2,30,7.3,80,82,65,7.6,3.4
Red Rooms,82,7.1,96,74,80,7.4,3.9
If I Had Legs I'd Kick You,75,6.6,91,79,77,7.7,3.8
Frankenstein,60,7.5,85,94,78,7.4,3.9
The Conjuring,40,7.5,58,77,54,5.7,3.6
Save the Green Planet,65,7.1,88,87,70,5.7,3.7
Bugonia,73,7.5,87,84,72,7.2,3.9
To the Bone,55,6.7,69,65,64,6.7,3.0
Down to the Bone,69,6.6,94,71,76,5.3,3.5
Juror #2,72,7.0,93,90,72,6.7,3.4
Beanpole,80,7.2,93,76,85,6.5,3.8
Girls Will Be Girls,68,7.1,100,81,79,5.4,3.8
A House of Dynamite,69,6.4,75,77,75,5.6,2.8
The Long Walk,40,6.7,88,84,71,6.8,3.5
Eephus,68,6.7,100,64,84,7.6,3.7
The Roses,70,6.7,64,79,84,7.6,3.4
Bring Her Back,60,7.1,89,79,75,6.9,3.7
McCabe & Mrs. Miller,70,7.6,85,86,93,7.4,4.1
The Woman in Cabin 10,50,5.8,28,32,41,4.2,2.4
Ravenous,40,6.9,52,78,46,7.7,3.7
The Lost Bus,50,6.8,88,95,64,6.3,3.3
Soundtrack to a Coup d'Etat,65,7.8,97,97,91,6.2,4.1
One Battle after Another,65,7.8,95,85,95,6.9,4.3
Here,65,6.8,95,71,92,6.9,3.6
No Other Land,73,8.2,100,100,93,7.9,4.6
Do Not Expect Too Much from the End of the World,65,7.3,96,68,95,6.8,3.9
Stranger at the Lake,70,6.9,94,65,82,6.6,3.6
Misericordia,75,6.7,94,65,83,6.6,3.6
